golfer,mean,lower_bound_90percent,upper_bound_90percent
GOLFER_VictorSchwamkrug,-0.00086845,-0.010065935,0.00588185
GOLFER_DonYrene,-0.000855072,-0.002451131,0.009066921
GOLFER_KellyGibson,-0.000841871,-0.005660191,0.000884415
GOLFER_MikeSmall,-0.000821512,-0.002551669,0.005847463
GOLFER_BrettMelton,-0.000809825,-0.000927669,-0.000927669
GOLFER_JohnE.Morgan,-0.000809008,-0.000706143,-0.000706143
GOLFER_AndyCrain,-0.000785748,-0.003158955,0.001700257
GOLFER_BarryLane,-0.000783206,-0.000783206,-0.000783206
GOLFER_DavidEdwards,-0.000699859,-0.007450614,0.001179202
GOLFER_OmarUresti,-0.000688629,-0.01555302,0.004930989
GOLFER_BobBurns,-0.000673937,-0.000718008,-0.000718008
GOLFER_JeffBrehaut,-0.000656051,-0.000641642,-0.000641642
GOLFER_DanHalldorson,-0.000653831,-0.000397586,-0.000397586
GOLFER_ZaneZwemke,-0.00065092,-0.004784799,0.008259655
GOLFER_SteveElkington,-0.000639878,-0.006265935,-0.000189016
GOLFER_RobertDamron,-0.000624296,-0.007626332,0.002592388
GOLFER_JohnDouma,-0.000603759,-0.001660313,0.00425262
GOLFER_NolanHenke,-0.000598516,-0.000107713,-0.000107713
GOLFER_JinPark,-0.000598102,-0.002115965,0.000686749
GOLFER_Jean-FrancoisRemesy,-0.000565128,-0.000602245,-0.000602245
GOLFER_RyanMoore,-0.000553016,-0.007967569,0.001073238
GOLFER_BobHeintz,-0.000545206,-0.004172415,0.000412561
GOLFER_FrankBensel,-0.000535898,-0.000535898,-0.000535898
GOLFER_GaryHallberg,-0.000533503,-0.000599244,-0.000599244
GOLFER_BobAckerman,-0.000528526,-0.000528526,-0.000528526
GOLFER_JerryHaas,-0.000526791,-0.000704108,-0.000704108
GOLFER_DannyEllis,-0.000499746,-0.000814665,0.003103376
GOLFER_DannyEdwards,-0.00048369,-0.004493403,0.002879944
GOLFER_PatPerez,-0.000478501,-0.011993614,0.001295665
GOLFER_PatBates,-0.00045807,-0.001664917,0.005761537
GOLFER_NickO'Hern,-0.000442955,-0.007063496,0.004153878
GOLFER_NickFaldo,-0.000420657,-0.001921063,-0.00073659
GOLFER_MarioTiziani,-0.000410834,-0.003022944,0.002981726
GOLFER_CraigStadler,-0.000405409,-0.000204623,-0.000204623
GOLFER_RichardZokol,-0.00037919,-0.00419604,0.00113095
GOLFER_NickGilliam,-0.000369074,-0.003065261,0.000976123
GOLFER_MacO'Grady,-0.000361349,-0.000506187,-0.000506187
GOLFER_JayDelsing,-0.000346521,-0.001721425,0.005157202
GOLFER_RobinFreeman,-0.000315908,-0.001595104,0.00054287
GOLFER_JohnMorse,-0.000307215,-0.002139525,0.009618068
GOLFER_TomGleeton,-0.000296135,-0.000242053,-0.000242053
GOLFER_JackNicklaus,-0.000276757,-0.001154265,0.000206435
GOLFER_DerekLamely,-0.000270613,-0.002124623,0.010864945
GOLFER_CamiloVillegas,-0.000267255,-0.003781941,0.002827911
GOLFER_BillyAndrade,-0.000266878,-0.000923169,0.007839745
GOLFER_CraigPerks,-0.000234279,-0.00697274,-0.000443389
GOLFER_FranklinLangham,-0.000211432,-0.003812812,0.001106694
GOLFER_BobbyKalinowski,-0.000198901,-0.002908796,0.005599635
GOLFER_RogerTambellini,-0.000189347,-0.00431625,0.000932162
GOLFER_ChrisHeinz,-0.000188754,-0.000736518,-0.000736518
GOLFER_YusakuMiyazato,-0.000155874,-0.001531147,0.006865017
GOLFER_ScottHeyn,-0.000152823,0.000346084,0.000346084
GOLFER_BradleyHughes,-0.000130093,-0.004407389,0.005893978
GOLFER_MarcGirouard,-0.000115951,-0.001651555,0.007347439
GOLFER_ChrisStroud,-0.000113967,-0.000502704,0.004543994
GOLFER_DerekSanders,-9.37E-05,-0.000813314,-0.000813314
GOLFER_GabrielHjertstedt,-9.01E-05,-0.000231383,-0.000231383
GOLFER_KevinStreelman,-8.31E-05,-0.002753687,0.003088795
GOLFER_TonyRohlik,-7.13E-05,-0.000346213,-0.000346213
GOLFER_DirkAyers,-4.35E-05,0.00036123,0.00036123
GOLFER_BrianHarman,-1.92E-05,-0.005774117,0.015435348
GOLFER_GeoffreySisk,-7.00E-06,-0.003905195,0.002554914
GOLFER_JonTurcott,5.96E-06,-0.012167383,0.003585221
GOLFER_MattWeibring,2.20E-05,0.000255271,0.000255271
GOLFER_BrettUpper,3.15E-05,-0.002418493,0.015812142
GOLFER_SteveScott,4.19E-05,-0.001331806,0.005793177
GOLFER_JayDonBlake,6.34E-05,-0.001232727,0.00024289
GOLFER_EduardoRomero,7.16E-05,3.81E-05,0.004293443
GOLFER_NickPrice,0.000133362,-0.000551682,0.002983277
GOLFER_BobFord,0.000136457,-0.005502502,0.002819734
GOLFER_JonathanKaye,0.000152686,-0.011862745,0.001672571
GOLFER_RicardoGonzalez,0.00015472,0.00015472,0.00015472
GOLFER_RamonBescansa,0.000160917,-0.000517159,-0.000517159
GOLFER_BradAdamonis,0.000167452,-0.000532908,0.005776801
GOLFER_AaronBarber,0.00019801,-0.000266657,-0.000266657
GOLFER_DanOlsen,0.000218706,-0.003194546,0.001401741
GOLFER_MikeGrob,0.000220344,-0.004672505,0.001495218
GOLFER_CaseyMartin,0.00023364,0.000570934,0.000570934
GOLFER_ChezReavie,0.000233835,-1.83E-05,-1.83E-05
GOLFER_GusCable,0.000242376,0.000242376,0.000242376
GOLFER_BryceMolder,0.000264892,-0.000620611,-0.000620611
GOLFER_ChipSullivan,0.000267033,-0.001687167,0.005455278
GOLFER_JustinHicks,0.000269744,-0.000739867,0.00391294
GOLFER_TomScherrer,0.000270855,-0.011750216,0.004766138
GOLFER_DanForsman,0.000295109,-0.007400192,0.006163734
GOLFER_JyotiRandhawa,0.000350267,-0.006879224,0.002736826
GOLFER_NickWatney,0.000359615,-0.007477059,0.002716246
GOLFER_MarkHayes,0.000364722,0.000364722,0.000364722
GOLFER_JoeAffrunti,0.000366249,-0.009483446,0.005886223
GOLFER_GeorgeBradford,0.000369015,0.000369015,0.000369015
GOLFER_BrianHenninger,0.000373021,-0.001040462,0.008159658
GOLFER_SteveStricker,0.000405776,-0.001846401,0.008436523
GOLFER_JeffCoston,0.000439318,-0.000494525,0.007344221
GOLFER_TimParun,0.000455398,-0.000640095,0.014427116
GOLFER_CameronDoan,0.000480554,-0.003330254,0.00484728
GOLFER_JamieElliott,0.000481456,0.000815048,0.000815048
GOLFER_DarrenWallace,0.000520906,0.000377961,0.000377961
GOLFER_DelPonchock,0.000539018,-0.00281616,0.000103054
GOLFER_KevinDurkin,0.000559404,-0.001678924,0.002651328
GOLFER_FuzzyZoeller,0.000564292,0.000752391,0.000752391
GOLFER_PeterSenior,0.000595534,-0.000148062,0.002383855
GOLFER_RichBarcelo,0.000614036,-0.001003185,0.013179951
GOLFER_ParkerMcLachlin,0.000619305,-0.002464605,0.009839439
GOLFER_BradFabel,0.00064558,-0.009678223,0.001716047
GOLFER_ColinMontgomerie,0.000646612,0.000510629,0.000510629
GOLFER_MarcoRuiz,0.00067145,-0.004868116,0.010494052
GOLFER_DavidBerganioJr.,0.000672835,0.00031172,0.00031172
GOLFER_PaulHoltby,0.000680703,0.000680703,0.000680703
GOLFER_CharleyHoffman,0.000700231,0.001264691,0.001264691
GOLFER_Lian-WeiZhang,0.000734309,0.000161466,0.000161466
GOLFER_MiguelAngelJimenez,0.000794199,-0.000896641,0.00348124
GOLFER_DarrenClarke,0.000799634,0.001080346,0.001080346
GOLFER_JamesLepp,0.000830752,-0.002128979,0.00081874
GOLFER_RoyBiancalana,0.000833374,-0.000116517,0.016754039
GOLFER_MichaelClarkII,0.000861632,-0.00541473,0.019896905
GOLFER_DavidHearn,0.000862885,-0.006338997,0.002773502
GOLFER_RobertDeruntz,0.00090164,0.000132135,0.018711903
GOLFER_SvenStruver,0.000904259,-0.000507342,0.005540539
GOLFER_MikeSposa,0.000927128,-0.002317539,0.008294395
GOLFER_GeoffreyDean,0.000945271,0.000831282,0.000831282
GOLFER_SpikeMcRoy,0.000972051,0.000856441,0.000856441
GOLFER_GaryWolstenholme,0.000983241,0.000983241,0.000983241
GOLFER_LeeWestwood,0.000983691,-0.000122807,0.004106727
GOLFER_BrianWatts,0.001033502,-0.004519135,0.004015775
GOLFER_DavidCarr,0.001034047,-0.001445992,0.008776392
GOLFER_JimGallagherJr.,0.001036404,0.00021187,0.004469307
GOLFER_RettCrowder,0.001048275,0.001048275,0.001048275
GOLFER_BradHauer,0.001052277,-0.003768475,0.003471282
GOLFER_GregNorman,0.001065502,0.000882325,0.000882325
GOLFER_JohnBermel,0.001097316,-0.00167937,0.006460615
GOLFER_DavidChurch,0.001103012,-0.006216856,0.001606098
GOLFER_PaulStankowski,0.001134096,0.00083553,0.006039539
GOLFER_BradleyHeaven,0.001138234,0.00032638,0.00032638
GOLFER_CraigParry,0.00115364,-0.003780382,0.001181087
GOLFER_DarrellKestner,0.001154032,0.000301067,0.000301067
GOLFER_RyanWelborn,0.001162456,-0.002393198,0.010074552
GOLFER_PeterLonard,0.001174771,0.000263729,0.011159636
GOLFER_AlexCejka,0.001176831,-0.006162254,0.004601548
GOLFER_BradBryant,0.001193217,0.000480057,0.000480057
GOLFER_DaveStocktonJr.,0.001214832,0.001214832,0.001214832
GOLFER_JasonLaing,0.001215859,0.000780576,0.000780576
GOLFER_TjaartvanderWalt,0.001217116,-0.000795999,0.010148382
GOLFER_BenCrenshaw,0.001241457,0.000627675,0.000627675
GOLFER_LeifOlsen,0.001254382,-0.000409645,0.012514694
GOLFER_JoeyMaxon,0.001260425,-8.75E-05,0.018288044
GOLFER_SeanMurphy,0.001273409,0.000725065,0.004818049
GOLFER_StephenSokol,0.001330638,0.001330638,0.001330638
GOLFER_DavidNoll,0.001335725,-9.46E-06,0.002357002
GOLFER_D.J.Trahan,0.001351788,0.000357372,0.006340534
GOLFER_BrettRumford,0.001372114,-0.003710446,0.006069982
GOLFER_DougBarron,0.001381866,0.00044324,0.003221179
GOLFER_MikeSullivan,0.001384461,-0.010161737,0.006309314
GOLFER_JasonGore,0.001424044,-0.007816894,0.002494474
GOLFER_BenoitBeisser,0.00142935,-0.00250036,0.010236927
GOLFER_UlyGrisette,0.001442278,0.000297885,0.005244917
GOLFER_EricAxley,0.001457583,-0.005521333,0.002545469
GOLFER_JohnsonWagner,0.001483837,0.001019668,0.001019668
GOLFER_KevinStadler,0.001490613,0.001301576,0.001301576
GOLFER_PhilBlackmar,0.001494131,-0.000100363,0.00701782
GOLFER_DeanA.Wilson,0.001508751,-0.000113124,0.0143742
GOLFER_ScottMcCarron,0.00151578,0.001460951,0.003016274
GOLFER_RickyBarnes,0.001530366,-0.002497501,0.021697094
GOLFER_CharlesWarren,0.001539358,-0.002835976,0.005357026
GOLFER_PaytonOsborn,0.001563282,0.001228005,0.001228005
GOLFER_SpencerLevin,0.001590087,0.001590087,0.001590087
GOLFER_SteveFriesen,0.001602339,-5.45E-05,0.008427324
GOLFER_NickCassini,0.00160305,0.000367809,0.002771714
GOLFER_TrevorImmelman,0.001613128,-0.000674404,0.011198576
